"","date","unique_authors"
"464",2020-04-08,"1800952"
"465",2020-04-09,"1716891"
"466",2020-04-10,"1660618"
"467",2020-04-11,"1603214"
"468",2020-04-12,"1518113"
"469",2020-04-13,"1630424"
"470",2020-04-14,"1671429"
"471",2020-04-15,"1775443"
"472",2020-04-16,"1790223"
"473",2020-04-17,"1591172"
"474",2020-04-18,"1551736"
"475",2020-04-19,"1620053"
