"date","Twitter","value","weekday","bl","sd","country"
2019-03-15,"Unique authors",2233,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-03-15,"Total tweets",16845,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-03-16,"Unique authors",2163,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-03-16,"Total tweets",13473,"Samstag",14460.25,3180.78166416654,"Austria"
2019-03-17,"Unique authors",2660,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-03-17,"Total tweets",13029,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-03-18,"Unique authors",2745,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-03-18,"Total tweets",14854,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-03-19,"Unique authors",2855,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-03-19,"Total tweets",16005,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-03-20,"Unique authors",2897,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-03-20,"Total tweets",16126,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-03-21,"Unique authors",2696,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-03-21,"Total tweets",16009,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-03-22,"Unique authors",2205,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-03-22,"Total tweets",14321,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-03-23,"Unique authors",2209,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-03-23,"Total tweets",12570,"Samstag",14460.25,3180.78166416654,"Austria"
2019-03-24,"Unique authors",2696,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-03-24,"Total tweets",13864,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-03-25,"Unique authors",2940,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-03-25,"Total tweets",15209,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-03-26,"Unique authors",2872,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-03-26,"Total tweets",17642,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-03-27,"Unique authors",2896,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-03-27,"Total tweets",17135,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-03-28,"Unique authors",2879,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-03-28,"Total tweets",16442,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-03-29,"Unique authors",2145,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-03-29,"Total tweets",15617,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-03-30,"Unique authors",2123,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-03-30,"Total tweets",12469,"Samstag",14460.25,3180.78166416654,"Austria"
2019-03-31,"Unique authors",2884,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-03-31,"Total tweets",13782,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-04-01,"Unique authors",2838,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-04-01,"Total tweets",15014,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-04-02,"Unique authors",2842,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-04-02,"Total tweets",15186,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-04-03,"Unique authors",2877,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-04-03,"Total tweets",15771,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-04-04,"Unique authors",2860,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-04-04,"Total tweets",15792,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-04-05,"Unique authors",2163,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-04-05,"Total tweets",16088,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-04-06,"Unique authors",2217,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-04-06,"Total tweets",13072,"Samstag",14460.25,3180.78166416654,"Austria"
2019-04-07,"Unique authors",2720,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-04-07,"Total tweets",13270,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-04-08,"Unique authors",2767,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-04-08,"Total tweets",14850,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-04-09,"Unique authors",2904,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-04-09,"Total tweets",15089,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-04-10,"Unique authors",2815,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-04-10,"Total tweets",16451,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-04-11,"Unique authors",2724,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-04-11,"Total tweets",15777,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-04-12,"Unique authors",2174,"Freitag",2207.59615384615,209.435774198986,"Austria"
